Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
2.6544e-02,0.0307594
2.6576e-02,0.0310781
2.6608e-02,0.0316719
2.6640e-02,0.03115
2.6672e-02,0.0312125
2.6704e-02,0.0307937
2.6736e-02,0.0314469
2.6768e-02,0.0315281
2.6800e-02,0.0321437
2.6832e-02,0.0326656
2.6864e-02,0.0328812
2.6896e-02,0.0332906
2.6928e-02,0.0343812
2.6960e-02,0.0349187
2.6992e-02,0.0361156
2.7024e-02,0.0364812
2.7056e-02,0.0364687
2.7088e-02,0.0371094
2.7120e-02,0.038325
2.7152e-02,0.0405625
2.7184e-02,0.0411875
2.7216e-02,0.0424281
2.7248e-02,0.0425719
2.7280e-02,0.0447344
2.7312e-02,0.0458781
2.7344e-02,0.0464312
2.7376e-02,0.0480125
2.7408e-02,0.0486656
2.7440e-02,0.0501812
2.7472e-02,0.0520156
2.7504e-02,0.0537312
2.7536e-02,0.055425
2.7568e-02,0.0574562
2.7600e-02,0.0587906
2.7632e-02,0.0622312
2.7664e-02,0.0640312
2.7696e-02,0.0635781
2.7728e-02,0.0645187
2.7760e-02,0.0653469
2.7792e-02,0.0672219
2.7824e-02,0.0686656
2.7856e-02,0.069075
2.7888e-02,0.0711562
2.7920e-02,0.0706125
2.7952e-02,0.0714
2.7984e-02,0.072025
2.8016e-02,0.0717031
2.8048e-02,0.0740094
2.8080e-02,0.0738719
2.8112e-02,0.0748156
2.8144e-02,0.0758844
2.8176e-02,0.0765875
2.8208e-02,0.078975
2.8240e-02,0.0797875
2.8272e-02,0.0782844
2.8304e-02,0.0765375
2.8336e-02,0.074
2.8368e-02,0.0718969
2.8400e-02,0.071225
2.8432e-02,0.0702812
2.8464e-02,0.0700406
2.8496e-02,0.0689469
2.8528e-02,0.068875
2.8560e-02,0.0676844
2.8592e-02,0.065825
2.8624e-02,0.063975
2.8656e-02,0.0617344
2.8688e-02,0.0600312
2.8720e-02,0.0569875
2.8752e-02,0.0546406
2.8784e-02,0.0522781
2.8816e-02,0.0502094
2.8848e-02,0.0487031
2.8880e-02,0.0481875
2.8912e-02,0.0475031
2.8944e-02,0.0464969
2.8976e-02,0.0464375
2.9008e-02,0.0455437
2.9040e-02,0.04495
2.9072e-02,0.0433969
2.9104e-02,0.0416781
2.9136e-02,0.0406156
2.9168e-02,0.0398219
2.9200e-02,0.0391094
2.9232e-02,0.039225
2.9264e-02,0.0388344
2.9296e-02,0.0371187
2.9328e-02,0.0361687
2.9360e-02,0.0351594
2.9392e-02,0.0349
2.9424e-02,0.0348781
2.9456e-02,0.0339844
2.9488e-02,0.0341781
2.9520e-02,0.0337469
2.9552e-02,0.0325562
2.9584e-02,0.0315594
2.9616e-02,0.0313844
2.9648e-02,0.0316219
2.9680e-02,0.0318781
2.9712e-02,0.0320562
2.9744e-02,0.0320031
2.9776e-02,0.032025
2.9808e-02,0.0318062
2.9840e-02,0.032825
2.9872e-02,0.0325875
2.9904e-02,0.0313406
2.9936e-02,0.0302094
2.9968e-02,0.0296437
3.0000e-02,0.0297312
3.0032e-02,0.0307781
3.0064e-02,0.0306562
3.0096e-02,0.0305
3.0128e-02,0.0305656
3.0160e-02,0.0302312
3.0192e-02,0.0300437
3.0224e-02,0.0301875
3.0256e-02,0.0301937
3.0288e-02,0.03035
3.0320e-02,0.0297437
3.0352e-02,0.0298937
3.0384e-02,0.0293875
3.0416e-02,0.0292344
3.0448e-02,0.0287656
3.0480e-02,0.0279875
3.0512e-02,0.0283031
3.0544e-02,0.0285625
3.0576e-02,0.0289062
3.0608e-02,0.0292781
3.0640e-02,0.0300906
3.0672e-02,0.0303906
3.0704e-02,0.0302375
3.0736e-02,0.0300187
3.0768e-02,0.0301375
3.0800e-02,0.02995
3.0832e-02,0.030175
3.0864e-02,0.02915
3.0896e-02,0.0287125
3.0928e-02,0.0289406
3.0960e-02,0.0295906
3.0992e-02,0.0290156
3.1024e-02,0.0282344
3.1056e-02,0.0274219
3.1088e-02,0.0276156
3.1120e-02,0.0277125
3.1152e-02,0.0271281
3.1184e-02,0.0272094
3.1216e-02,0.0280687
3.1248e-02,0.0282625
3.1280e-02,0.0281937
3.1312e-02,0.0284562
3.1344e-02,0.0279
3.1376e-02,0.0274187
3.1408e-02,0.0266625
3.1440e-02,0.0262531
3.1472e-02,0.0263875
3.1504e-02,0.0263875
3.1536e-02,0.0264812
3.1568e-02,0.0275719
3.1600e-02,0.0285219
3.1632e-02,0.0294687
3.1664e-02,0.0294062
3.1696e-02,0.0291812
3.1728e-02,0.0284469
3.1760e-02,0.0282437
3.1792e-02,0.0280344
3.1824e-02,0.0279781
3.1856e-02,0.0293
3.1888e-02,0.0296219
3.1920e-02,0.0289219
3.1952e-02,0.0285219
3.1984e-02,0.02795
3.2016e-02,0.0286906
3.2048e-02,0.0295094
3.2080e-02,0.0289031
3.2112e-02,0.0288219
3.2144e-02,0.0290844
3.2176e-02,0.0290094
3.2208e-02,0.0282219
3.2240e-02,0.0282
3.2272e-02,0.0279437
3.2304e-02,0.027625
3.2336e-02,0.0282125
3.2368e-02,0.0274969
3.2400e-02,0.02675
3.2432e-02,0.02645
3.2464e-02,0.0266812
3.2496e-02,0.0269906
3.2528e-02,0.0272719
3.2560e-02,0.0280062
3.2592e-02,0.0278937
3.2624e-02,0.0283375
3.2656e-02,0.0279094
3.2688e-02,0.0271094
3.2720e-02,0.0274687
3.2752e-02,0.0275187
3.2784e-02,0.0271219
3.2816e-02,0.0270875
3.2848e-02,0.0271406
3.2880e-02,0.0269781
3.2912e-02,0.0268969
3.2944e-02,0.0266937
3.2976e-02,0.0267594
3.3008e-02,0.0269062
3.3040e-02,0.0275687
3.3072e-02,0.0282781
3.3104e-02,0.0285812
3.3136e-02,0.0302281
3.3168e-02,0.0299437
3.3200e-02,0.02925
3.3232e-02,0.0287
3.3264e-02,0.0284844
3.3296e-02,0.0282031
3.3328e-02,0.02875
3.3360e-02,0.0289906
3.3392e-02,0.0287375
3.3424e-02,0.02795
3.3456e-02,0.0278594
3.3488e-02,0.0285937
3.3520e-02,0.0288969
3.3552e-02,0.0292344
3.3584e-02,0.0290875
3.3616e-02,0.0285844
3.3648e-02,0.0281344
3.3680e-02,0.0286375
3.3712e-02,0.0292094
3.3744e-02,0.0294312
3.3776e-02,0.0300594
3.3808e-02,0.0296
3.3840e-02,0.0294375
3.3872e-02,0.0290531
3.3904e-02,0.0286625
3.3936e-02,0.0285594
3.3968e-02,0.0293312
3.4000e-02,0.0289781
